;;;;;;;;;;
;;;;;;;;;;
ROUND;TEAM;GOALS;GOALS_AGAINST;SHOTS;xGOALS;POSSESSION;CORNERS;FOULS_COMMITTED;CARDS_RED;CARDS_YELLOW
1;FC Nordsjælland;3;0;19;2;49.8%;2;9;0;1
1;Randers FC;3;2;15;0,047916667;45.9%;10;6;0;1
1;Brøndby IF;3;3;26;0,085416667;64.7%;7;4;0;0
1;Viborg FF;3;3;8;2;35.3%;4;8;0;1
1;Vejle Boldklub;2;3;8;0,002083333;54.1%;6;16;0;2
1;F.C. København;2;0;10;0,045138889;53.8%;4;12;0;2
1;AGF;1;1;17;0,088888889;49.1%;6;20;0;3
1;FC Midtjylland;1;1;13;0,045833333;50.9%;4;11;0;0
1;Silkeborg IF;1;0;18;0,044444444;55.2%;7;9;0;0
1;AaB;0;3;15;1;50.2%;6;8;0;2
1;Sønderjyske Fodbold;0;1;8;1;44.8%;4;15;0;1
1;Lyngby Boldklub;0;2;11;0,004861111;46.2%;3;15;0;2
2;Randers FC;3;1;7;00.08;36.2%;5;14;0;1
2;F.C. København;3;2;14;01.09;49.2%;2;10;0;0
2;FC Midtjylland;2;2;10;00.09;34.3%;3;10;0;0
2;FC Nordsjælland;2;2;3;1;65.7%;3;5;0;0
2;AaB;2;1;11;02.01;48.7%;5;14;0;1
2;AGF;2;3;9;01.02;50.8%;4;4;0;1
2;Brøndby IF;2;1;15;02.04;50.7%;8;6;0;1
2;Sønderjyske Fodbold;1;1;20;01.03;57.7%;6;13;0;3
2;Lyngby Boldklub;1;1;8;00.08;42.3%;4;9;0;1
2;Silkeborg IF;1;2;18;01.06;51.3%;11;7;1;1
2;Viborg FF;1;3;13;1;63.8%;8;11;0;2
2;Vejle Boldklub;1;2;17;01.09;49.3%;6;13;0;3
3;AGF;4;0;15;01.09;61.1%;8;9;0;1
3;Silkeborg IF;3;2;10;01.06;52.2%;4;11;0;2
3;FC Midtjylland;2;0;16;2;48.9%;7;8;0;1
3;Viborg FF;2;3;10;01.06;47.8%;1;10;0;1
3;Brøndby IF;2;0;11;01.04;48.4%;3;12;0;1
3;F.C. København;1;1;31;2;72.6%;12;13;0;1
3;Randers FC;1;1;7;01.02;27.4%;2;5;1;1
3;FC Nordsjælland;1;0;19;01.05;63.4%;5;8;0;3
3;Sønderjyske Fodbold;0;4;6;00.07;38.9%;4;17;0;2
3;AaB;0;2;15;01.01;51.1%;6;9;0;2
3;Lyngby Boldklub;0;2;14;00.09;51.6%;6;18;0;1
3;Vejle Boldklub;0;1;12;00.06;36.6%;4;17;0;1
4;AaB;3;2;13;01.01;48.7%;3;11;0;3
4;FC Midtjylland;2;0;21;02.02;47.7%;14;12;0;0
4;Silkeborg IF;2;0;7;01.02;44.4%;0;11;0;2
4;F.C. København;2;0;19;02.09;51%;3;5;0;0
4;Viborg FF;2;3;20;02.02;51.3%;12;10;0;2
4;AGF;1;0;11;01.03;49%;6;5;0;0
4;Lyngby Boldklub;1;1;8;00.07;28.9%;3;10;0;1
4;FC Nordsjælland;1;1;24;02.01;71.1%;12;6;0;1
4;Vejle Boldklub;0;2;12;00.06;52.3%;4;7;0;0
4;Randers FC;0;2;15;01.04;55.6%;12;7;0;0
4;Brøndby IF;0;1;17;01.08;51%;6;11;0;2
4;Sønderjyske Fodbold;0;2;8;00.04;49%;5;13;0;0
5;AGF;5;1;17;3;65.8%;8;10;0;0
5;Silkeborg IF;4;1;10;01.05;42.6%;3;6;0;0
5;Brøndby IF;4;0;25;02.02;66.9%;10;14;0;1
5;FC Midtjylland;2;1;23;01.07;59.6%;6;12;0;1
5;Sønderjyske Fodbold;2;1;13;01.08;42.4%;3;13;0;3
5;Lyngby Boldklub;1;2;8;00.09;40.4%;4;8;0;1
5;Randers FC;1;2;15;01.06;57.6%;7;16;0;1
5;FC Nordsjælland;1;4;11;01.06;57.4%;3;13;0;1
5;F.C. København;1;1;19;01.05;58.5%;11;11;0;2
5;Viborg FF;1;1;14;1;41.5%;5;5;0;1
5;Vejle Boldklub;1;5;13;01.01;34.2%;7;10;0;0
5;AaB;0;4;12;01.02;33.1%;3;8;0;2
6;AGF;4;0;11;01.08;52.4%;6;15;0;1
6;FC Midtjylland;3;2;19;02.05;46.2%;7;9;0;2
6;Silkeborg IF;3;1;10;02.03;55.6%;2;6;0;1
6;FC Nordsjælland;3;2;18;01.08;57.6%;3;9;0;1
6;Sønderjyske Fodbold;2;3;14;00.08;53.8%;7;14;0;2
6;F.C. København;2;3;21;01.05;42.4%;3;11;0;1
6;Randers FC;2;2;12;00.07;33.5%;4;9;0;2
6;Brøndby IF;2;2;20;1;66.5%;7;11;0;1
6;Vejle Boldklub;1;3;24;02.04;44.4%;6;12;0;2
6;Viborg FF;1;0;14;01.02;39.4%;6;8;0;1
6;AaB;0;4;7;00.04;47.6%;4;12;0;2
6;Lyngby Boldklub;0;1;22;02.03;60.6%;7;9;0;1
7;AGF;4;2;11;1;44.3%;7;9;0;2
7;FC Midtjylland;3;1;11;01.08;45.3%;5;7;0;0
7;F.C. København;3;1;5;01.08;28.1%;0;9;1;3
7;FC Nordsjælland;2;4;10;01.01;55.7%;5;13;0;4
7;Sønderjyske Fodbold;2;2;11;00.07;50.7%;7;18;0;3
7;Viborg FF;2;2;20;01.06;49.3%;9;6;0;3
7;Lyngby Boldklub;1;0;8;00.05;47.7%;10;6;0;1
7;Silkeborg IF;1;3;9;00.08;54.7%;3;4;0;2
7;Brøndby IF;1;3;18;02.02;71.9%;10;11;0;0
7;Randers FC;1;0;12;00.07;50.2%;4;13;0;2
7;Vejle Boldklub;0;1;14;1;52.3%;5;17;0;3
7;AaB;0;1;17;01.01;49.8%;13;8;0;2
8;Viborg FF;5;0;20;03.08;56.1%;2;9;0;1
8;AaB;2;1;12;01.05;47.7%;1;8;0;1
8;FC Midtjylland;2;1;17;00.09;48.4%;17;10;0;3
8;Brøndby IF;2;0;17;02.09;59%;7;14;0;1
8;Lyngby Boldklub;1;2;16;01.05;52.3%;5;9;0;3
8;F.C. København;1;2;12;01.05;51.6%;3;15;0;5
8;AGF;1;1;10;00.09;59.8%;5;13;0;3
8;Silkeborg IF;1;1;6;00.06;40.2%;4;10;0;1
8;Randers FC;1;1;11;01.01;33.3%;3;5;0;1
8;FC Nordsjælland;1;1;13;01.02;66.7%;7;10;0;1
8;Vejle Boldklub;0;5;16;00.09;43.9%;3;16;0;3
8;Sønderjyske Fodbold;0;2;5;00.05;41%;1;6;0;1
9;Viborg FF;3;2;13;01.04;36.3%;2;9;0;3
9;Silkeborg IF;3;3;13;02.01;47.2%;1;8;0;0
9;Brøndby IF;3;3;20;02.09;52.8%;7;11;1;1
9;FC Nordsjælland;2;3;22;2;63.7%;5;14;0;1
9;FC Midtjylland;2;2;12;01.03;49.4%;4;6;1;1
9;Randers FC;2;2;17;01.05;50.6%;6;11;0;1
9;Sønderjyske Fodbold;2;1;14;01.01;55%;4;10;0;1
9;F.C. København;2;0;28;03.02;69.4%;7;12;0;2
9;Vejle Boldklub;1;2;8;00.07;45%;2;11;0;5
9;AGF;0;0;15;01.06;73.7%;12;11;0;2
9;Lyngby Boldklub;0;0;5;00.01;26.3%;5;20;0;4
9;AaB;0;2;2;00.01;30.6%;2;9;0;2
10;FC Nordsjælland;4;1;12;01.03;57%;3;8;0;3
10;FC Midtjylland;3;1;18;02.01;58.9%;10;7;0;2
10;AaB;3;0;18;01.05;55.6%;3;9;0;2
10;AGF;2;2;13;01.09;56.4%;1;16;0;4
10;Randers FC;2;2;7;00.03;43.6%;5;17;0;6
10;Silkeborg IF;2;2;11;01.05;51.3%;9;10;0;2
10;Lyngby Boldklub;2;2;17;01.05;48.7%;5;13;0;1
10;F.C. København;2;1;24;02.06;69.1%;9;9;0;2
10;Viborg FF;1;3;12;01.07;41.1%;0;13;0;4
10;Vejle Boldklub;1;2;3;1;30.9%;4;17;0;6
10;Brøndby IF;1;4;13;00.09;43%;4;13;0;4
10;Sønderjyske Fodbold;0;3;16;1;44.4%;4;14;0;2
11;FC Nordsjælland;4;1;23;03.07;78.2%;9;10;0;2
11;Vejle Boldklub;2;2;14;01.04;41%;8;16;0;1
11;AaB;2;2;20;01.03;59%;6;10;0;1
11;Brøndby IF;2;0;16;01.06;51.8%;8;11;0;1
11;F.C. København;2;2;21;01.08;56.3%;7;18;0;4
11;Silkeborg IF;2;2;5;01.04;43.7%;1;11;0;3
11;AGF;1;1;12;01.03;49.5%;6;13;1;3
11;Randers FC;1;1;6;00.08;52.8%;5;11;0;0
11;Sønderjyske Fodbold;1;4;7;01.03;21.8%;1;8;0;0
11;Lyngby Boldklub;1;1;15;1;47.2%;7;6;0;2
11;Viborg FF;1;1;13;01.06;50.5%;2;5;0;1
11;FC Midtjylland;0;2;10;01.01;48.2%;5;6;1;1
12;F.C. København;3;1;15;02.01;61.3%;0;9;0;0
12;Sønderjyske Fodbold;3;2;15;01.09;49.1%;4;13;0;1
12;Randers FC;2;0;11;02.01;48%;1;12;0;3
12;FC Midtjylland;2;3;19;02.02;50.9%;10;7;0;2
12;Vejle Boldklub;1;3;10;00.07;38.7%;5;15;0;2
12;Silkeborg IF;1;1;5;00.07;34.6%;3;8;0;1
12;FC Nordsjælland;1;1;15;01.07;65.4%;7;9;0;2
12;AGF;1;0;14;01.05;41.3%;6;11;1;1
12;AaB;0;2;22;02.05;52%;6;10;0;4
12;Lyngby Boldklub;0;0;10;00.08;52.6%;10;13;0;3
12;Viborg FF;0;0;14;01.02;47.4%;4;5;1;2
12;Brøndby IF;0;1;8;1;58.7%;4;13;0;3
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
